@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2026/01/20 13:48:55:576',1,0.625848,0.635693,0,0.587842,0.591295,-0.020253,0.561546,0.515754,-0.036414,0.569148,0.464862,-0.054167,0.602041,0.445904,-0.070211,0.608308,0.391443,-0.022985,0.592707,0.293088,-0.059233,0.574772,0.236125,-0.08012,0.565644,0.184258,-0.094529,0.654602,0.410113,-0.033874,0.64434,0.345169,-0.082799,0.611333,0.423682,-0.089414,0.607146,0.466292,-0.080979,0.689898,0.450187,-0.049016,0.658091,0.425068,-0.092589,0.620954,0.500394,-0.07703,0.62369,0.527596,-0.054795,0.714369,0.502242,-0.06679,0.672441,0.497377,-0.089866,0.640348,0.543034,-0.076089,0.644359,0.554963,-0.059883,1
2,'2026/01/20 13:48:55:617',1,0.627084,0.638537,0,0.590443,0.596998,-0.020378,0.561882,0.520972,-0.037202,0.571217,0.465622,-0.055575,0.606767,0.447924,-0.072242,0.608969,0.392828,-0.022909,0.593747,0.293677,-0.057908,0.575888,0.235895,-0.077459,0.566911,0.183987,-0.091376,0.656058,0.410255,-0.033526,0.643995,0.345897,-0.079985,0.610506,0.427687,-0.083845,0.6071,0.470735,-0.074167,0.691747,0.450043,-0.048586,0.658817,0.42606,-0.090944,0.620549,0.501619,-0.074179,0.622695,0.528916,-0.051764,0.716746,0.502084,-0.066339,0.673731,0.498434,-0.089911,0.640192,0.544894,-0.076589,0.642363,0.558106,-0.060959,1
3,'2026/01/20 13:48:55:664',1,0.629611,0.640019,0,0.591043,0.595592,-0.021453,0.563531,0.520963,-0.038275,0.569741,0.465124,-0.056798,0.603461,0.446147,-0.073466,0.609674,0.393362,-0.021514,0.593742,0.294204,-0.057141,0.576136,0.235889,-0.077362,0.567011,0.183649,-0.091383,0.656451,0.409838,-0.031643,0.644872,0.345519,-0.080234,0.612376,0.425734,-0.086278,0.607075,0.470466,-0.077186,0.692049,0.448679,-0.046271,0.659976,0.424449,-0.090181,0.62274,0.501008,-0.074873,0.622782,0.531379,-0.052352,0.715986,0.500524,-0.063682,0.674502,0.49826,-0.087681,0.642435,0.543461,-0.07519,0.644204,0.556593,-0.059509,1
4,'2026/01/20 13:48:55:696',1,0.62905,0.638671,0,0.591107,0.595197,-0.021276,0.562698,0.520232,-0.037836,0.56846,0.465695,-0.056009,0.602446,0.448444,-0.072426,0.608422,0.393106,-0.022503,0.593167,0.293805,-0.057775,0.575224,0.236294,-0.077741,0.565525,0.184384,-0.091697,0.654508,0.410671,-0.032754,0.644029,0.346445,-0.08135,0.610924,0.426097,-0.087429,0.605207,0.470465,-0.078543,0.690148,0.449941,-0.047352,0.659536,0.425239,-0.091042,0.622199,0.501562,-0.075775,0.622232,0.531889,-0.053512,0.714983,0.50199,-0.064709,0.674881,0.500604,-0.088644,0.642582,0.546645,-0.076136,0.644331,0.56024,-0.060585,1
5,'2026/01/20 13:48:55:743',1,0.629794,0.640104,0,0.59135,0.597239,-0.019402,0.562841,0.522894,-0.035548,0.569763,0.46815,-0.053557,0.602779,0.45069,-0.070107,0.608941,0.392454,-0.02206,0.592609,0.293871,-0.056248,0.574682,0.235821,-0.075796,0.565224,0.184888,-0.089611,0.655958,0.410367,-0.03282,0.643524,0.347787,-0.07908,0.610332,0.426519,-0.084285,0.605037,0.469155,-0.075641,0.692175,0.44996,-0.04766,0.658733,0.425586,-0.089633,0.621634,0.500488,-0.074254,0.622163,0.530198,-0.052597,0.717002,0.501897,-0.065037,0.674416,0.497414,-0.088217,0.641553,0.542376,-0.075408,0.64263,0.55697,-0.059899,1
6,'2026/01/20 13:48:55:774',1,0.630176,0.639866,0,0.591902,0.595868,-0.020879,0.563312,0.521162,-0.037715,0.56865,0.465292,-0.056441,0.602295,0.446389,-0.073453,0.609662,0.394871,-0.021744,0.59394,0.295199,-0.057355,0.576185,0.237138,-0.077537,0.566505,0.184904,-0.091614,0.656475,0.410681,-0.032096,0.643471,0.347878,-0.080477,0.611223,0.428634,-0.086131,0.606048,0.47311,-0.077095,0.692537,0.44843,-0.046886,0.658963,0.426243,-0.090585,0.622831,0.504375,-0.074497,0.623132,0.535864,-0.05169,0.717162,0.499186,-0.064464,0.675161,0.498057,-0.088399,0.643207,0.545565,-0.075398,0.64474,0.560101,-0.059456,1
7,'2026/01/20 13:48:55:821',1,0.631447,0.640348,0,0.592569,0.594763,-0.019998,0.563418,0.520804,-0.037464,0.567212,0.466005,-0.057083,0.600202,0.44678,-0.075089,0.610603,0.393365,-0.021398,0.594975,0.295428,-0.057475,0.576424,0.236458,-0.078079,0.566911,0.184027,-0.092466,0.65688,0.410538,-0.032635,0.643293,0.344988,-0.080702,0.610691,0.427554,-0.085959,0.607382,0.472065,-0.076672,0.692671,0.449288,-0.048304,0.659299,0.421514,-0.0918,0.622256,0.500752,-0.074724,0.623989,0.532669,-0.051259,0.71714,0.501578,-0.06664,0.67419,0.494153,-0.089981,0.64175,0.541532,-0.075728,0.644775,0.556968,-0.058981,1
8,'2026/01/20 13:48:55:867',1,0.632666,0.639043,0,0.595128,0.595155,-0.018654,0.564858,0.524281,-0.036,0.568791,0.470416,-0.055438,0.601608,0.452515,-0.073502,0.609702,0.394212,-0.023379,0.594074,0.294526,-0.058298,0.576323,0.23524,-0.078175,0.567383,0.182942,-0.092235,0.65625,0.411655,-0.034545,0.643639,0.346431,-0.080038,0.610857,0.426092,-0.084511,0.606321,0.468494,-0.07583,0.69252,0.450428,-0.04969,0.660376,0.422584,-0.091225,0.623172,0.497979,-0.074856,0.623399,0.52912,-0.052787,0.718102,0.50197,-0.067236,0.67647,0.492598,-0.090095,0.642974,0.538194,-0.076341,0.643152,0.555301,-0.060272,1
9,'2026/01/20 13:48:55:899',1,0.630869,0.636288,0,0.593209,0.59192,-0.018166,0.564085,0.518084,-0.034582,0.570453,0.465746,-0.053029,0.603076,0.449506,-0.070127,0.609226,0.388998,-0.022364,0.595752,0.291615,-0.057425,0.577406,0.232951,-0.077736,0.568037,0.181029,-0.092291,0.656247,0.408041,-0.033725,0.64483,0.34399,-0.077997,0.610924,0.424643,-0.081499,0.607799,0.463759,-0.072654,0.692707,0.448131,-0.049268,0.661939,0.421109,-0.089345,0.623316,0.496556,-0.07165,0.625219,0.523707,-0.049438,0.717869,0.500773,-0.067339,0.677235,0.491165,-0.089034,0.642766,0.537673,-0.074242,0.64465,0.552365,-0.057947,1
10,'2026/01/20 13:48:55:931',1,0.631588,0.636348,0,0.59298,0.593796,-0.019153,0.566075,0.519554,-0.034782,0.573368,0.465737,-0.052327,0.606362,0.44646,-0.068384,0.610357,0.39092,-0.021534,0.596909,0.290759,-0.056083,0.580065,0.232862,-0.075681,0.570726,0.180627,-0.089311,0.657356,0.408262,-0.032515,0.648463,0.342415,-0.079606,0.616019,0.418692,-0.085953,0.608914,0.461645,-0.07761,0.69343,0.447564,-0.04755,0.662344,0.427113,-0.090203,0.625146,0.500533,-0.076302,0.623991,0.528858,-0.05516,0.717949,0.498722,-0.065016,0.678149,0.494894,-0.088425,0.644764,0.540296,-0.076104,0.643855,0.554751,-0.060734,1
